index;nom_chaine;tvg_id_original;tvg_id_final;methode;groupe;logo
113;FR | FRANCE 3 HD;france3.fr;france3.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FRANCE_3.png
114;FR | FRANCE 3 SD;france3.fr;france3.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FRANCE_3_SD.png
115;FR | FRANCE 4 HD;france4.fr;france4.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FRANCE_4.png
116;FR | FRANCE 4 SD;france4.fr;france4.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FRANCE_4_SD.png
117;FR | FRANCE 5 HD;france5.fr;france5.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FRANCE_5.png
118;FR | FRANCE 5 SD;france5.fr;france5.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FRANCE_5_SD.png
119;FR | ARTE HD;arte.fr;arte.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/ARTE.png
120;FR | M6 HD;m6.fr;m6.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/M6.png
121;FR | M6 SD;m6.fr;m6.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/M6_SD.png
122;FR | M6 INTERNATIONAL HD;m6.fr;m6.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/M6_INTERNATIONAL.png
123;FR | W9 HD;w9.fr;w9.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/W9.png
124;FR | W9 SD;w9.fr;w9.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/W9_SD.png
125;FR | 6TER HD;6ter.fr;6ter.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/6TER.png
126;FR | 6TER SD;6ter.fr;6ter.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/6TER_SD.png
127;FR | TFX HD;tfx.fr;tfx.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TFX.png
128;FR | TFX SD;tfx.fr;tfx.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TFX_SD.png
129;FR | TF1 SERIES FILMS HD;tf1seriesfilms.fr;tf1seriesfilms.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TF1_SERIES_FILMS.png
130;FR | TF1 SERIES FILMS SD;tf1seriesfilms.fr;tf1seriesfilms.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TF1_SERIES_FILMS_SD.png
131;FR | SECRET STORY HD;;;unmapped;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/SQOOL_TV.png
132;FR | CSTAR HD;cstar.fr;cstar.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CSTAR.png
133;FR | CSTAR SD;cstar.fr;cstar.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CSTAR_SD.png
134;FR | T18 HD;t18.fr;t18.fr;original;ⓘTV ║ FRANCE HD;https://redpluslogo.net/LOGO/TV_FRANCE_FHD/T18.png
135;FR | NOVO19 HD;novo19.fr;novo19.fr;original;ⓘTV ║ FRANCE HD;https://redpluslogo.net/LOGO/TV_FRANCE_FHD/novo_19.png
136;FR | NOVO19 SD;novo19.fr;novo19.fr;original;ⓘTV ║ FRANCE HD;https://redpluslogo.net/LOGO/TV_FRANCE_FHD/novo_19.png
137;FR | CNEWS HD;cnews.fr;cnews.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CNEWS_SD.png
138;FR | CNEWS SD;cnews.fr;cnews.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CNEWS_SD.png
139;FR | SQOOL TV HD;;;unmapped;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/SQOOL_TV.png
140;FR | RMC STORY HD;rmcstory.fr;rmcstory.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/RMC_STORY.png
141;FR | RMC STORY SD;rmcstory.fr;rmcstory.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/RMC_STORY_SD.png
142;FR | TMC HD;tmc.fr;tmc.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TMC.png
143;FR | TMC SD;tmc.fr;tmc.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/TMC_SD.png
144;FR | RMC LIFE HD;cherie25.fr;cherie25.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CHERIE_25.png
145;FR | RMC LIFE SD;cherie25.fr;cherie25.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CHERIE_25_SD.png
146;FR | LUCKY JACK TV HD;LuckyJack.fr;LuckyJack.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/LUCKY_JACK.png
147;FR | PUISSANCE TELEVISION HD;;;unmapped;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/PUISSANCETELEVISION.png
148;FR | MUSEUM HD;;;unmapped;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_FHD/MUSEUM.png
149;▼●★ --- ||FR|| MY CANAL HD ||FR|| --- ★●▼;;;unmapped;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/FLAG_FRANCE.png
150;FR | CANAL+ HD;canalplus.fr;canalplus.fr;original;ⓘTV ║ FRANCE HD;https://logo.yellowcdn.xyz/canalplus.png
151;FR | CANAL+ SD;canalplus.fr;canalplus.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_SD.png
152;FR | CANAL+ SERIE HD;canalplusseries.fr;canalplusseries.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_SERIES.png
153;FR | CANAL+ SERIES SD;canalplusseries.fr;canalplusseries.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_SERIES_SD.png
154;FR | CANAL+ CINEMA HD;canalpluscinema.fr;canalpluscinema.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_CINEMA(S).png
155;FR | CANAL+ CINEMA SD;canalpluscinema.fr;canalpluscinema.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_CINEMA(S)_SD.png
156;FR | CANAL+ KIDS HD;canalpluskids.fr;canalpluskids.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_KIDS.png
157;FR | CANAL+ KIDS SD;canalpluskids.fr;canalpluskids.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_KIDS_SD.png
158;FR | CANAL+ GRAND ECRAN HD;;;unmapped;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_GRAND_ECRAN_SD.png
159;FR | CANAL+ GRAND ECRAN SD;canalplusgrandecran.fr;canalplusgrandecran.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/TV_FRANCE_HD/CANAL+_GRAND_ECRAN_SD.png
160;FR | CANAL+ BOX OFFICE HD;CanalPlusBoxOffice.fr;CanalPlusBoxOffice.fr;original;ⓘTV ║ FRANCE HD;http://redpluslogo.net/LOGO/beinboxoffice.png
